Id	Accession	title	summary	control	treatment	PairedOrSingle	AvgSpotLen	Notes
200119292	GSE119292	Transcriptional profiling of C. elegans on pathogenic Pseudomonas aeruginosa	"RNA-seq of Wild Type (N2), pmk-1 or atf-7 mutant animals exposed to either non-pathogenic E. coli OP50 or pathogenic P. aeruginosa PA14"	"SRR7771392, SRR7771394, SRR7771396"	"SRR7771393, SRR7771395, SRR7771397"	PAIRED	80	
200121091	GSE121091	Quantitative Analysis of Worms after P. aeruginosa Infection	"To clarify the mechanisms of innate immune responses mediated by epithelial barrier disruption. Reveal the host’s broad transcriptional response to P. aeruginosa infection during disruption of the intestinal barrier. We used RNA-Seq analysis to study the transcriptomic profiles of wt worms were exposed to either P. aeruginosa PA14 or E. coli OP50 for 24 hours, and the transcriptomic profiles of egl-44(MT2247) mutants fed E. coli OP50 for 24 hours. Differential expression analysis was performed by comparing wt worms exposed to PA14 versus wt worms exposed to E. coli OP50, and egl-44(MT2247) mutants fed E. coli OP50 versus WT worms fed E. coli OP50."	"SRR7994085, SRR7994086, SRR7994087"	"SRR7994088, SRR7994089, SRR7994090"	PAIRED	250	"YA, 24h exposure"
200202258	GSE202258	Bacterial pattern recognition in C. elegans by the nuclear hormone receptor NHR-86/HNF4	"Pattern recognition of bacterial products by host receptors is essential for pathogen sensing in many metazoans. Caenorhabditis elegans, however, do not utilize canonical pattern recognition receptors to activate innate immunity toward bacterial pathogens. Whether other mechanisms evolved in nematodes to directly sense pathogens is not known. Here, we characterize the first bacterial pattern recognition receptor and its natural ligand in C. elegans. We show that the C. elegans nuclear hormone receptor NHR-86/HNF4 senses phenazine-1-carboxamide (PCN), a metabolite produced by pathogenic strains of Pseudomonas aeruginosa, to activate protective anti-pathogen defenses in the intestine. PCN binds to the ligand binding domain of NHR-86/HNF4, a ligand-gated transcription factor, which engages a transcriptional program in intestinal epithelial cells that promotes metabolism of toxic phenazines to provide protection against P. aeruginosa. These data de-orphan a nuclear hormone receptor and demonstrate that sensing a metabolite signal of bacterial virulence allows nematodes to detect pathogens in its environment that are poised to cause disease."	"SRR19088045, SRR19088046, SRR19088047"	"SRR19088042, SRR19088043, SRR19088044"	PAIRED	100	L4
200218235	GSE218235	Rege-1 promotes C. elegans survival by modulating the metabolic pathways	"To understand how excess amount of ets-4 contributed to poor survival of rege-1(ht070) fed with PA14, we performed mRNA-seq on the adult worms after 48 hours exposure to either OP50 or PA14 in all four strains."	"SRR22324851, SRR22324852"	"SRR22324841, SRR22324842"	PAIRED	302	Ad_D2
200121508	GSE121508	Comparison of Pseudomonas responsive gene expression after histone methyltransferase RNAi in C. elegans	"We resport the changes in gene expression occuring after Pseudomonas exposure in C. elegans with low s-adenosylmethionine, or RNAi of two H3K4 methyltransferases Using a C. elegans model of low SAM, we previously found that transcriptional responses response to a bacterial pathogen failed and these bacterial-response genes did not show normal H3K4me3 close to the transcriptional start sites, (Ding et al. 2015 Cell Metabolism). We also found the HMT set-16/MLL was required for full induction, whereas set-2/SET1 appeared dispensable (Ding et al. 2015 Cell Metabolism). We hypothesized that animals with low SAM might fail to transcriptionally respond to stress and that the HMTs may also have distinct roles in modulating stress responses. In our present study, we set out to compare induction of transcriptional responses and survival upon stress exposure between C. elegans with reduced SAM (sams-1(RNAi)) and animals with limited H3K4me3 function, set-2/SET1, and set-16/MLL RNAi. Because distinct stresses may rely on different transcriptional activation mechanisms, we also compared whole-genome expression patterns in three stresses: pathogenic bacteria (PA14), xenotoxic (R24) and heat in response to each RNAi."	"SRR10340338, SRR8079470"	"SRR10340339, SRR8079479"	SINGLE	49	
200122544	GSE122544	RNA sequencing to identify NPR-8-regulated genes in C. elegans defense against pathogen infection	"To gain molecular insights on how NPR-8 regulates C. elegans defense against pathogen infection, we used RNA sequencing to profile gene expression in npr-8(ok1439) animals relative to wild-type animals with or without P. aeruginosa infection. We found that NPR-8 suppresses the expression of genes related to cuticle structure activity including collagen genes, and lack of NPR-8-mediated suppression in npr-8(ok1439) animals contributes to their improved survival against P. aeruginosa infection."	"SRR8187947, SRR8187948, SRR8187949, SRR8187950, SRR8187951"	"SRR8187957, SRR8187958, SRR8187959, SRR8187960, SRR8187961"	PAIRED	197	"Ad_D1, 24h exposure"
200134687	GSE134687	Oligosaccharyl transferase that maintains ER homeostasis enhances immunity via up-regulating p38 MAP kinase signaling in C. elegans	"Oligosaccharyl transferase (OST) protein complex mediates the N-linked glycosylation of substrate proteins in the endoplasmic reticulum (ER), which regulates stability, activity and localization of its substrates. Although many OST substrate proteins have been identified, the physiological role of OST complex remains incompletely understood. Here, we show that OST complex in C. elegans is crucial for ER protein homeostasis and enhances resistance to pathogenic bacteria, Pseudomonas aeruginosa (PA14), via immune-regulatory PMK-1/p38 MAP kinase."	"SRR9733081, SRR9733082, SRR9733083"	"SRR9733084, SRR9733085, SRR9733086"	PAIRED	202	Adult
200146406	GSE146406	RNA sequencing to identify UNC-49-regulated genes in C. elegans defense against pathogen infection	"To gain molecular insights on how UNC-49 regulates C. elegans innate immunity, we used RNA sequencing to profile gene expression in unc-49(e407) animals relative to wild-type animals with or without P. aeruginosa(PA14) infection. We found that UNC-49 suppresses the expression of insulin pathway genes, and lack of UNC-49-mediated suppression in unc-49(e407) animals contributes to their improved survival against P. aeruginosa infection."	"SRR11243382, SRR11243383, SRR11243384"	"SRR11243385, SRR11243386, SRR11243387"	PAIRED	300	"L4, 24h exposure"
200155868	GSE155868	RNA sequencing to identify immunity-regulated genes in C. elegans defense against pathogen infection	"To understand the molecular mechanism of C. elegans innate immunity, we used RNA sequencing to profile gene expression in wild-type animals with or without P. aeruginosa (PA14) infection. We found that a bZIP transcription factor ZIP-11 is dramatically induced in wild-type worm upon PA14 infection. And ZIP-11 promotes innate immunity through activating PMK-1/p38 pathway and interacting with a CCAAT/enhancer-binding protein CEBP-2."	"SRR12412490, SRR12412491, SRR12412492"	"SRR12412493, SRR12412494, SRR12412495"	PAIRED	300	"L4, 24h exposure"
200178572	GSE178572	Sterol scarcity primes p38 immune defenses through a TIR-1/SARM1 phase transition	"Intracellular signaling regulators are concentrated into membrane-free, higher-ordered protein assemblies to initiate protective responses during stress — a process known as phase transition. Here, we show that a phase transition of the C. elegans Toll/interleukin-1 receptor domain protein (TIR-1), a homolog of the mammalian sterile alpha and TIR motif-containing 1 (SARM1), primes host immune defenses when dietary sterols are limited to handle subsequent bacterial infection. TIR-1/SARM1 is an upstream component of the p38 PMK-1 pathway in intestinal cells, an innate immune defense and stress response pathway in metazoans. Under conditions of low cholesterol availability, multimerization and precipitation of TIR-1/SARM1 potentiates the intrinsic NAD+ glycohydrolase activity of this protein complex, increases p38 PMK-1 phosphorylation, and promotes pathogen clearance from the intestine. Dietary cholesterol is required for C. elegans to survive infection with pathogenic bacteria and to support development, fecundity, and lifespan. Thus, activation of the p38 PMK-1 pathway in sterol-deficient animals is an adaptive response that allows a metazoan host to anticipate environmental threats under conditions of essential metabolite scarcity."	"SRR14871049, SRR14871050, SRR14871051"	"SRR14871052, SRR14871053, SRR14871054"	PAIRED	100	"L4, 24h exposure"
200195835	GSE195835	RNA sequencing to identify UNC-25-regulated genes in C. elegans defense against pathogen P. aeruginosa infection	"Purpose: To gain molecular insights on how UNC-25 regulates C. elegans innate immunity, we used RNA sequencing to profile gene expression in unc-25(e156) animals relative to wild-type animals with or without P. aeruginosa (PA14) infection. Methods: Synchronized L1 worms were placed onto NGM plates seeded with E. coli OP50 and grown at 20 °C until the L4 stage. Worms were washed off the plates, collected with M9 solution and subsequently transferred to modified NGM plates containing E. coli OP50 or P. aeruginosa PA14 for 24 h at 25 °C. Then, the animals were washed off the plates with M9 solution and frozen in TRIzol (Transgen, ER501-01, China) with liquid nitrogen. Total RNA was isolated using a TransZol Up Plus RNA kit (Transgen, ER501-01, China). Results: RNA seq analyses shows enriched and signficant changed immune genes, neuropeptides, transcription factors and pathways that are dependent of GABA signaling. Conclusion: Our studies uncover that GABA signaling enhance the resistence to pathogen induced killing."	"SRR17838927, SRR17838928, SRR17838929"	"SRR17838924, SRR17838925, SRR17838926"	PAIRED	300	"L4, 24h exposure"
200205337	GSE205337	Within-species control reveals novel immune response genes in Caenorhabditis elegans	Used P. aeruginosa z11 strain as a control for P. aeruginosa PA14 infection studies in C. elegans	"SRR19512097, SRR19512098"	"SRR19512093, SRR19512094"	PAIRED	300	22h exposure
